하나, 50, 177
아타, 46, 188
하카, 77, 161
라아, 40, 154
파가, 74, 196
나타, 53, 161
차가, 80, 151
아차, 63, 175
사자, 41, 187
자차, 51, 152
라아, 50, 145
나바, 82, 176
바자, 78, 168
라가, 70, 145
가타, 80, 154
차사, 93, 181
카자, 96, 187
파가, 40, 199
가마, 60, 166
가마, 73, 172
파사, 44, 154
다다, 44, 157
마나, 48, 192
라파, 93, 193
가타, 60, 188
가가, 48, 190
하마, 82, 198
차자, 79, 155
바가, 46, 198
라카, 55, 180
자파, 97, 194
나하, 57, 161
마가, 81, 164
차마, 40, 161
자자, 68, 173
차파, 84, 180
라가, 48, 158
타차, 98, 195
자사, 52, 199
가바, 89, 190
자타, 100, 190
라자, 62, 153
차파, 50, 174
마카, 100, 155
아마, 62, 190
타차, 45, 194
나가, 51, 148
사가, 81, 200
나사, 51, 185
차바, 92, 177
바자, 97, 169
차타, 42, 182
나하, 58, 161
마카, 48, 143
라차, 79, 194
파아, 64, 176
아마, 46, 187
아사, 77, 147
타카, 43, 172
차마, 45, 170
아라, 81, 144
사아, 76, 140
자나, 66, 169
사카, 99, 173
나차, 69, 179
파자, 93, 191
차라, 64, 154
타차, 81, 155
가가, 86, 179
자아, 99, 163
파하, 70, 181
타카, 68, 191
사다, 85, 191
차다, 43, 148
바아, 86, 189
아차, 47, 180
카마, 72, 180
라하, 77, 187
다라, 64, 184
타바, 44, 194
마카, 51, 143
라아, 87, 174
차자, 60, 186
파바, 64, 162
파차, 66, 152
마아, 90, 155
바파, 50, 172
사마, 67, 147
아다, 42, 181
마마, 45, 163
카가, 44, 169
타하, 64, 176
사자, 80, 167
나자, 76, 194
아다, 59, 173
다자, 88, 170
마자, 57, 149
차라, 42, 153
하나, 64, 178
사가, 92, 148
파하, 96, 163
다차, 98, 157
바나, 82, 158
자라, 93, 141
가라, 64, 141
바차, 83, 195
마나, 51, 197
파아, 68, 155
라라, 61, 195
차마, 47, 194
타하, 77, 154
카타, 69, 163
라차, 92, 141
파바, 98, 198
가가, 93, 168
다나, 50, 191
아파, 55, 197
카하, 72, 170
라파, 100, 162
하파, 87, 174
차나, 84, 194
마아, 96, 171
타하, 86, 150
자아, 43, 158
타아, 82, 170
타자, 41, 178
아카, 40, 157
라마, 40, 154
차사, 88, 147
하바, 97, 199
사바, 51, 146
사라, 92, 142
카아, 75, 140
가자, 81, 159
자라, 40, 154
자카, 52, 156
나나, 86, 200
차자, 49, 177
가하, 58, 144
마자, 89, 174
나바, 46, 181
아파, 56, 168
나다, 62, 187
라바, 50, 164
자파, 57, 192
하마, 96, 146
아자, 52, 175
마라, 45, 142
아라, 77, 174
아사, 57, 191
파하, 75, 161
나아, 80, 162
나바, 64, 158
파사, 44, 160
마라, 74, 142
다나, 100, 182
사마, 56, 159
가마, 79, 173
마카, 52, 170
카자, 84, 140
자카, 61, 181
파사, 82, 142
하라, 92, 151
자나, 46, 187
하다, 91, 175
하카, 94, 159
카다, 52, 145
사하, 87, 162
파아, 59, 200
아카, 41, 166
라차, 89, 151
나마, 97, 185
라다, 88, 156
바라, 76, 152
나카, 54, 166
라바, 68, 160
파다, 56, 187
파바, 76, 178
사타, 44, 200
나차, 69, 164
아바, 88, 186
아파, 95, 162
자파, 97, 187
바나, 67, 190
아차, 44, 173
다바, 62, 150
라다, 58, 177
가바, 54, 146
마다, 57, 179
라타, 83, 186
하사, 83, 189
나파, 66, 174
타자, 83, 146
라차, 46, 168
타파, 91, 171
하아, 67, 189
가마, 88, 147
파타, 85, 159
다하, 65, 154
라차, 43, 167
카차, 76, 191
라가, 61, 157
자마, 51, 181
파하, 92, 176
라하, 62, 193
아마, 84, 152
마아, 75, 180
카차, 77, 152
타파, 68, 146
나나, 74, 152
가마, 40, 191
나사, 85, 142
라파, 40, 190
파나, 96, 188
차나, 100, 152
자차, 68, 194
아파, 56, 177
차파, 46, 142
나하, 41, 149
나사, 56, 162
바차, 96, 148
자차, 67, 157
마마, 80, 167
라사, 43, 179
파타, 71, 144
마자, 46, 193
파다, 43, 193
마하, 71, 200
가나, 91, 140
차바, 53, 166
라자, 55, 192
바다, 80, 182
아아, 99, 164
카타, 99, 161
마다, 96, 181
카파, 58, 167
차다, 65, 168
다카, 56, 144
라나, 40, 196
마파, 72, 169
사하, 50, 177
마바, 50, 140
다사, 97, 165
아사, 45, 153
사타, 86, 200
차차, 98, 141
자타, 51, 194
바다, 84, 155
파자, 68, 151
나마, 85, 184
카차, 63, 152
차마, 86, 151
자차, 86, 173
마차, 94, 151
자파, 76, 142
아하, 91, 180
바파, 66, 145
차카, 53, 184
아아, 46, 196
마차, 59, 168
마나, 68, 180
타가, 66, 148
파자, 69, 148
하나, 82, 160
카나, 47, 164
하나, 64, 173
가가, 82, 173
타하, 75, 186
바라, 59, 152
차라, 49, 151
마자, 47, 156
라가, 42, 188
아파, 42, 159
나파, 94, 194
다카, 91, 163
타파, 71, 153
카다, 66, 144
타가, 80, 152
다다, 94, 197
라파, 79, 170
자나, 69, 165
라자, 61, 171
차바, 69, 169
사가, 53, 188
라다, 52, 179
가가, 81, 197
마나, 84, 171
바다, 83, 170
나자, 92, 179
다하, 92, 155
다하, 96, 168
라다, 42, 146
다나, 55, 199
다하, 77, 143
아라, 100, 190
아나, 96, 144
자파, 59, 188
바사, 99, 200
바바, 93, 172
가바, 63, 163
가라, 79, 189
사차, 51, 190
바파, 62, 149
마아, 99, 186
카차, 71, 187
차아, 89, 171
라파, 42, 157
가카, 56, 176
라파, 60, 170
카하, 56, 199
타아, 52, 152
마마, 44, 170
나자, 87, 157
가사, 68, 190
자타, 98, 163
하가, 89, 142
사자, 66, 145
나라, 59, 176
파가, 56, 198
아마, 74, 180
아다, 52, 193
가가, 70, 192
마가, 53, 149
라하, 43, 196
카아, 82, 147
사라, 83, 176
사가, 48, 154
자하, 88, 141
차타, 81, 191
아차, 47, 180
차카, 93, 193
아사, 52, 171
카하, 70, 182
바파, 96, 141
아가, 86, 163
라다, 50, 197
아하, 83, 154
타차, 41, 168
타마, 74, 175
차마, 43, 178
파타, 48, 143
카타, 81, 194
타파, 90, 151
파가, 61, 157
파자, 94, 159
차차, 54, 167
파사, 88, 195
하라, 46, 180
아사, 42, 158
다하, 74, 157
사타, 78, 198
아마, 85, 153
카라, 66, 185
자하, 52, 174
자마, 99, 196
자차, 72, 165
파자, 66, 199
마아, 54, 199
라타, 83, 167
마차, 72, 143
자아, 51, 154
마하, 72, 181
가자, 80, 150
다아, 53, 193
차나, 48, 148
자사, 83, 164
자마, 88, 179
다나, 50, 156
가자, 68, 169
나아, 98, 180
타하, 45, 173
자바, 52, 142
카카, 74, 160
타타, 66, 175
라하, 80, 163
다아, 46, 187
차나, 63, 183
바하, 68, 153
차나, 70, 190
타카, 66, 153
자가, 48, 192
나라, 96, 199
사아, 63, 150
가나, 95, 146
다카, 93, 160
파아, 55, 187
나파, 98, 158
아가, 73, 161
가파, 59, 200
나하, 99, 158
파카, 94, 155
라타, 75, 165
타다, 61, 151
나라, 53, 170
카바, 81, 186
가아, 52, 190
카카, 65, 165
타차, 41, 147
가바, 81, 162
차가, 93, 168
라바, 59, 155
차차, 41, 143
마카, 81, 168
하아, 81, 170
아사, 87, 177
나파, 54, 194
나라, 98, 142
다다, 44, 186
바가, 75, 190
나사, 42, 185
타아, 67, 153
나자, 43, 196
차바, 59, 199
타하, 45, 181
사파, 72, 150
나파, 43, 169
하차, 68, 198
아나, 67, 177
차파, 40, 178
마하, 49, 149
차아, 76, 185
아사, 64, 198
가다, 81, 168
차카, 45, 180
타파, 53, 189
카파, 99, 172
바마, 96, 154
카마, 78, 185
타파, 52, 145
아다, 72, 175
타바, 41, 195
바하, 77, 143
아파, 63, 186
타가, 85, 157
파차, 66, 146
라타, 77, 182
자아, 66, 187
차바, 40, 142
나라, 92, 143
바나, 93, 199
차카, 73, 143
타나, 51, 155
타나, 98, 173
타사, 75, 174
카하, 99, 189
나파, 44, 189
가마, 55, 193
가파, 85, 140
하자, 43, 172
라차, 59, 180
바자, 52, 181
라다, 64, 152
마아, 85, 153
바아, 84, 153
아차, 94, 191
하가, 68, 161
나타, 44, 176
나차, 45, 143
나아, 76, 191
